datetime,open,high,low,close,volume
2020-05-15 16:30:00,198.29,198.3,197.32,197.38,15193.095
2020-05-15 17:00:00,197.38,198.99,196.91,198.31,24350.038
2020-05-15 17:30:00,198.3,198.39,197.57,198.2,14846.735
2020-05-15 18:00:00,198.21,198.81,197.95,198.02,15647.632
2020-05-15 18:30:00,198.02,198.46,197.84,197.89,11284.002
2020-05-15 19:00:00,197.89,198.13,193.36,194.75,104354.139
2020-05-15 19:30:00,194.79,195.62,194.25,194.59,35011.367
2020-05-15 20:00:00,194.6,195.14,194.01,194.66,23412.727
2020-05-15 20:30:00,194.65,194.78,191.21,193.49,62582.698
2020-05-15 21:00:00,193.49,195.94,192.98,195.15,34079.263
2020-05-15 21:30:00,195.15,196.75,194.72,196.02,23895.019
2020-05-15 22:00:00,196.01,197.7,195.6,197.57,20989.29
2020-05-15 22:30:00,197.57,197.91,195.68,196.1,32489.117
2020-05-15 23:00:00,196.12,196.68,195.52,195.52,12124.33
2020-05-15 23:30:00,195.52,196.15,193.85,194.71,32899.378
2020-05-16 00:00:00,194.72,195.08,193.2,195.08,29637.646
2020-05-16 00:30:00,195.07,197.19,194.69,196.69,35869.533
2020-05-16 01:00:00,196.68,197.07,195.68,196.7,20313.869
2020-05-16 01:30:00,196.69,197.84,196.32,197.08,23361.636
2020-05-16 02:00:00,197.09,198.7,197.09,198.37,37662.916
2020-05-16 02:30:00,198.38,199.48,198.17,198.79,28108.584
2020-05-16 03:00:00,198.83,199.67,198.01,198.55,20020.427
2020-05-16 03:30:00,198.55,199.03,198.05,198.45,15698.456
2020-05-16 04:00:00,198.46,200.39,198.36,199.91,48674.074
2020-05-16 04:30:00,199.9,201.5,199.35,201.42,37603.41
2020-05-16 05:00:00,201.43,202.36,200.83,201.2,58195.129
2020-05-16 05:30:00,201.2,201.49,200.0,200.04,36765.226
2020-05-16 06:00:00,200.05,200.78,199.84,200.41,17727.184
2020-05-16 06:30:00,200.42,201.09,200.27,200.79,17478.837
2020-05-16 07:00:00,200.79,201.36,200.22,200.43,16605.545
2020-05-16 07:30:00,200.41,200.48,199.22,199.35,20655.652
2020-05-16 08:00:00,199.36,199.95,198.37,199.78,33304.983
2020-05-16 08:30:00,199.78,200.62,199.61,200.45,16765.536
2020-05-16 09:00:00,200.45,200.73,199.46,199.47,13120.041
2020-05-16 09:30:00,199.46,200.19,199.12,200.01,15489.072
2020-05-16 10:00:00,200.06,200.4,199.32,200.34,11965.832
2020-05-16 10:30:00,200.35,201.17,199.9,200.89,19174.927
2020-05-16 11:00:00,200.89,201.11,200.23,200.73,16573.338
2020-05-16 11:30:00,200.74,200.89,199.78,200.15,11776.983
2020-05-16 12:00:00,200.15,203.46,200.15,202.71,60636.878
2020-05-16 12:30:00,202.7,202.85,201.62,202.24,23475.707
2020-05-16 13:00:00,202.25,203.2,201.81,202.24,25208.331
2020-05-16 13:30:00,202.25,202.35,201.3,201.82,16199.865
2020-05-16 14:00:00,201.81,202.56,201.66,201.75,14228.524
2020-05-16 14:30:00,201.71,201.99,199.86,201.17,36436.538
2020-05-16 15:00:00,201.17,201.38,200.56,200.87,13110.772
2020-05-16 15:30:00,200.86,200.96,199.98,200.63,22754.877
2020-05-16 16:00:00,200.63,201.23,200.01,200.07,18915.374
2020-05-16 16:30:00,200.07,200.32,198.49,200.21,45206.723
2020-05-16 17:00:00,200.2,200.6,199.65,199.97,13958.854
2020-05-16 17:30:00,199.97,200.47,197.63,198.69,43734.098
2020-05-16 18:00:00,198.69,199.44,197.96,198.98,25329.487
2020-05-16 18:30:00,199.0,199.3,198.2,198.98,12111.361
2020-05-16 19:00:00,198.98,200.27,198.38,200.17,14913.389
2020-05-16 19:30:00,200.13,200.36,199.69,199.98,7102.584
2020-05-16 20:00:00,199.98,200.38,199.5,200.38,8207.538
2020-05-16 20:30:00,200.38,200.57,199.92,200.15,10161.8
2020-05-16 21:00:00,200.09,201.36,200.0,200.89,19122.543
2020-05-16 21:30:00,200.88,201.76,200.71,201.43,12250.873
2020-05-16 22:00:00,201.46,201.54,200.67,200.93,12701.214
2020-05-16 22:30:00,200.88,201.92,200.61,201.37,18328.386
2020-05-16 23:00:00,201.39,201.66,200.83,201.04,10108.25
2020-05-16 23:30:00,201.01,201.05,200.21,200.39,14244.12
2020-05-17 00:00:00,200.4,200.83,199.5,200.72,22047.388
2020-05-17 00:30:00,200.76,201.84,200.68,201.74,33720.387
2020-05-17 01:00:00,201.76,202.4,201.15,202.04,26914.217
2020-05-17 01:30:00,202.04,202.4,201.23,201.23,13173.446
2020-05-17 02:00:00,201.22,202.11,201.17,201.89,13303.651
2020-05-17 02:30:00,201.88,202.2,201.54,201.59,10067.564
2020-05-17 03:00:00,201.58,201.84,201.2,201.75,15298.637
2020-05-17 03:30:00,201.75,202.0,201.3,201.4,10163.225
