symbol,timeframe,vol_mult,entry_ratio,atr_sl_mult,retest_max,use_absorption_filter,n_long,n_short,n_signals,return_pct,win_rate,profit_factor,total_trades
ETH,1h,1.3,0.0,0.8,48,True,31,37,68,-4.677966936139891,42.18750000000001,0.7220867710525511,128
ETH,2h,1.3,0.0,0.8,48,True,26,28,54,1.7292769019952006,43.689320388349515,1.0698981973598891,103
ETH,4h,1.3,0.0,0.8,48,True,16,19,35,-11.901206232689937,36.124853981996836,0.46653974422658834,63
BTC,1h,1.3,0.0,0.8,48,False,82,93,175,-203.9969937350533,39.31297709923664,0.5782532390625663,264
BTC,2h,1.3,0.0,0.8,48,False,85,89,174,-186.80766348057602,43.2844803171906,0.7943357582167914,264
BTC,4h,1.3,0.0,0.8,48,False,44,49,93,-218.38894758315402,37.90187042558959,0.4577034492141838,68
ETH,1h,1.3,0.0,0.8,48,False,95,92,187,-9.452980773974748,40.483383685800604,0.7138670312354303,331
ETH,2h,1.3,0.0,0.8,48,False,75,91,166,-11.191913928834607,40.863787375415285,0.8029145388878026,301
ETH,4h,1.3,0.0,0.8,48,False,44,48,92,-17.318174699024755,39.37869822485207,0.7268870835843135,169
BTC,1h,1.3,0.0,0.8,96,True,23,29,52,-21.712314774266364,42.894056847545215,0.8471179957573851,90
BTC,2h,1.3,0.0,0.8,96,True,27,30,57,53.930139593670795,45.19230769230769,1.0220699885024764,104
BTC,4h,1.3,0.0,0.8,96,True,14,11,25,-104.45495666858743,47.82608695652174,0.48606149956935274,46
ETH,1h,1.3,0.0,0.8,96,True,36,45,81,-7.868425830114877,40.26845637583892,0.6402282492114869,149
ETH,2h,1.3,0.0,0.8,96,True,28,33,61,-0.2553718873397626,43.47826086956522,1.0131571162605761,115
ETH,4h,1.3,0.0,0.8,96,True,16,19,35,-11.901206232689937,36.124853981996836,0.46653974422658834,63
BTC,1h,1.3,0.0,0.8,96,False,88,96,184,-203.8160569053286,38.89033777535312,0.600733384882585,290
BTC,2h,1.3,0.0,0.8,96,False,86,94,180,-151.11012498085637,44.261600625651724,0.8311231395094145,274
BTC,4h,1.3,0.0,0.8,96,False,46,49,95,-208.02286547084276,36.79910325071616,0.46368326301440055,70
ETH,1h,1.3,0.0,0.8,96,False,98,100,198,-8.620843878034709,41.142857142857146,0.7447657032522135,350
ETH,2h,1.3,0.0,0.8,96,False,79,93,172,-12.452512652044591,41.21405750798722,0.7989724872704314,313
ETH,4h,1.3,0.0,0.8,96,False,45,49,94,-23.275361584454753,38.460453968701536,0.6806194480706654,173
